hieroglyph	gardiner_codes	transliteration	english	occurrence
𓎱	W3	Hb	festival	6.0
𓂋𓎡	D21,V31	rk	(not translated)	5.83333
𓂋𓎡	D21,V31	rk	but, now	5.83333
𓇓𓏏𓈖	M23,X1,N35	nsw	King of Upper Egypt, king	5.83333
𓃂	D60	wab	pure, purify oneself, bathe, cleanse, purification, purity	5.68333
𓃂	D60	wab	serve as priest	5.68333
𓁨	C11	HH	Heh (god)	5.5
𓁨	C11	HH	million, a great number	5.5
𓏏𓍔	X1,U30	tA	kiln	5.41667
𓂋𓋴	D21,S29	rs	not translated	5.4
𓇋𓏠𓈖	M17,Y5,N35	imn	create	5.33333
𓅓𓂋	G17,D21	imy  r	overseer	5.25
𓏏𓍃	X1,U15	tm	(negates the sentence)	5.16667
𓂠	D39	Hnk	offer (something to)	5.0
𓄑𓊃𓃒	F18,O34,E1	bHs	calf	5.0
𓄞𓂧𓍼	F30,D46,V12	Sd	poultice	5.0
𓄥𓄿	F36,G1	smA	priest (who clothed the god)	5.0
𓇋𓂋𓏭	M17,D21,Z4	iry	thereof, thereto	5.0
𓇏𓏏𓈇	M20,X1,N23	sxt	marshland, field, country (beside town)	5.0
𓈎𓈖𓏴	N29,N35,Z9	qn	offence, attack	5.0
𓊮	Q7	psi	cook	5.0
𓊮	Q7	srf	warm, warmth, temperature, inflammation, fever, mood	5.0
𓊮	Q7	Smm	be warm, hot, have fever, become feverish	5.0
𓋑	S1	HDt	the White Crown	5.0
𓌴𓏤	U2,Z1	mA	stern (of boat)	5.0
𓍬𓂻	V2,D54	sTA	see under other entries for sTA	5.0
𓎛𓇳𓎛	V28,N5,V28	nHH	eternity, for ever	5.0
𓎛𓇳𓎛	V28,N5,V28	nHH	eternity	5.0
𓏙	X8	rdi	give, put, place, appoint, cause, permit, grant	5.0
𓏴𓂻	Z9,D54	swA	pass (on road), escape (from), surpass (someone), pass away, transgress, occur	5.0
𓌂	S42	xrp	baton (of office)	4.78333
𓌂	S42	xrp	undertake (works)	4.78333
𓌂	S42	xrp	controller, administrator	4.78333
𓌂	S42	sxm	power, grimness	4.78333
𓎡𓄿	V31,G1	kA	so, then	4.78333
𓇋𓏏𓆑𓀀	M17,X1,I9,A1	it	father	4.75
𓎡𓏏	V31,X1	kAt	thought, plan, device	4.75
𓎡𓏏	V31,X1	kt	other, another	4.75
𓊃𓏤	O34,Z1	s	doorbolt	4.6
𓊃𓏤	O34,Z1	s	man, someone, anyone, (no)-one, man of rank	4.6
𓊵	R4	Htp	boon, offering	4.5671
𓊵	R4	Htp	satisfy, make content, pacify, occupy (throne), rest in (tomb), assume (titulary)	4.5671
𓊵	R4	Htp	be pleased (with), be happy, be gracious (to), pardon (someone), be at peace, peaceful, become calm	4.5671
𓂧𓏏𓏤	D46,X1,Z1	Drt	hand	4.5
𓂧𓏏𓏤	D46,X1,Z1	Drt	hand, trunk (of elephant), handle (of jar)	4.5
𓇍𓇋𓇋𓂻	M18,M17,M17,D54	ii	come, return	4.5
𓈌𓏏𓉐	N27,X1,O1	Axyt	still - room	4.5
𓈌𓏏𓉐	N27,X1,O1	Axt	horizon	4.5
𓇶	N8	wbnw	wound	4.5
𓇶	N8	Sw	dry, dried	4.5
𓏏𓄿𓇋𓇋𓆑	X1,G1,M17,M17,I9	tAy .f	his	4.4
𓀠	A28	qAt	height	4.25
𓀠	A28	qAyt	high ground, arable land	4.25
𓀀𓀀𓀀	A1,A1,A1	rmT	man, men, mankind, Egyptians	4.0
𓁷𓄣	D2,F34	Hr  ib	in the middle, midst of	4.0
𓁷𓄣	D2,F34	Hry  ib	which is in the middle / midst of, who dwell in, middle, inmost parts of, contents of torso	4.0
𓂘𓂡	D32,D40	qni	embrace	4.0
𓂟	D38	rdi	give, put, place, appoint, cause, permit, grant	4.0
𓄚𓈖𓉐	F26,N35,O1	Xnw	interior, home, abode, Residence	4.0
𓄂𓂝	F4,D36	HAt  a	beginning	4.0
𓅱𓀀	G43,A1	wi	I, me, my	4.0
𓅾𓀁	G54,A2	snD	fear, respect	4.0
𓇅𓏛	M13,Y1	wAD	fresh	4.0
𓆳𓏏𓊗	M4,X1,O50	HAt  sp	regnal year	4.0
𓇬𓀁	M42,A2	wnm	eat	4.0
𓇾𓈇𓏤	N16,N23,Z1	tA	earth, land, ground	4.0
𓈋𓏤	N26,Z1	Dw	mountain	4.0
𓈙𓏏𓍔	N37,X1,U30	StA	mysterious, secret, hidden, difficult	4.0
𓈞𓅓	N41,G17	Hm	assuredly, indeed	4.0
𓉡	O10	Hwt  Hr	Hathor	4.0
𓉓	O3	prt  xrw	invocation offerings	4.0
𓊀	O32	bxnt	pylon	4.0
𓊀	O32	sbA	door	4.0
𓊃𓀀𓏤	O34,A1,Z1	s	man, someone, anyone, (no)-one, man of rank	4.0
𓊕	O48	nxn	Nekhen	4.0
𓊖𓏏𓏤	O49,X1,Z1	niwt	city, town	4.0
𓊻	R10	Xrt  nTr	necropolis	4.0
𓋠	S14	HD	silver, money	4.0
𓎛𓂝𓄹	V28,D36,F51	Ha	flesh	4.0
𓍯𓏏𓈐	V4,X1,N31	wAt	road, way	4.0
𓊃𓈖𓏥	O34,N35,Z2	sn	they, them, their	3.85714
𓊃𓈖𓏥	O34,N35,Z2	=sn	they, them, their	3.85714
𓍿𓈖	V13,N35	tn	this	3.83333
𓍿𓈖	V13,N35	Tn	you, your	3.83333
𓇋𓅷𓄿𓇋𓇋𓂷𓂡	M17,G47,G1,M17,M17,D51,D40	iTAy	take	3.66667
𓉻𓂝𓏛	O29,D36,Y1	aA(i)	great (of size)	3.66667
𓂋𓍿	D21,V13	rT	now, but	3.6
𓄟𓋴𓏯	F31,S29,Z5	msi	bear, give birth	3.5
𓄟𓋴𓏯	F31,S29,Z5	ms	child	3.5
𓅷𓄿𓂷𓂡	G47,G1,D51,D40	TAw	don (garment)	3.5
𓅽𓏤	G53,Z1	bA	soul, BA	3.5
𓅽𓏤	G53,Z1	bA	be a soul, possess a soul	3.5
𓇋𓏏𓈖𓇳	M17,X1,N35,N5	itn	sun, disk of the sun	3.5
𓇮𓏛	M44,Y1	spd	sharp, effective, skilled	3.5
𓇮𓏛	M44,Y1	spd	display skill, supply (food), restore to order	3.5
𓈝𓅓𓏏𓂻	N40,G17,X1,D54	Smt	walking, gait, movements, actions, business	3.5
𓊹𓏤	R8,Z1	nTr	god	3.5
𓌗	T12	rwD	cord	3.5
𓌗	T12	rwD	enduring, permanent	3.5
𓌗	T12	rwdt	success	3.5
𓌉𓆓𓏴	T3,I10,Z9	HDi	injure, destroy, disobey, annul, waste, eclipse, degrade	3.5
𓌉𓆓𓏴	T3,I10,Z9	HDi	be destroyed, perished, be lacking, fail	3.5
𓌉𓆓𓏴	T3,I10,Z9	HDi	damage, destruction	3.5
𓍉	U21	stp	cut up (animal)	3.5
𓏌𓏤	W24,Z1	nw	of, belonging to	3.5
𓏌𓏤	W24,Z1	nw	of, belonging to	3.5
𓉐𓂋𓂻	O1,D21,D54	pri	go, come out, escape (from), be renowned (of name)	3.4
𓉐𓂋𓂻	O1,D21,D54	pri	come out, burst forth (of storm), be issued (of supplies)	3.4
𓉐𓂋𓂻	O1,D21,D54	pri	go up, ascend (to), be subtracted (mathematical)	3.4
𓉐𓂋𓂻	O1,D21,D54	prw	motion, procession, outcome, result	3.4
𓊢𓂝𓂻	P6,D36,D54	aHa	stand, stand by, stand erect, raise oneself , stand up, rise up, arise, attend, wait, lifetime	3.4
𓊢𓂝𓂻	P6,D36,D54	aHaw	lifetime, period, space (of time)	3.4
𓂾𓂾	D56,D56	rdwy	feet	3.33333
𓌡𓏤𓂝	T21,Z1,D36	wai	be alone	3.33333
𓎝𓎛𓏛	V29,V28,Y1	wAH	set down, lay down, apply, stack, stow, store up, lay aside, discard	3.25
